descricao_produto,IA_PRODUTO,IA_LABORATORIO,IA_TIPO DA UNIDADE,IA_QUANTIDADE MG (POR UNIDADE/ML),IA_QUANTIDADE ML,IA_QUANTIDADE UI,IA_QUANTIDADE UNIDADES
BUSONID AQ NA 50 MCG 120 D S / CO,BUSONID,,FRASCO,"0,05",,,120
BUSONID AQ NA 50 MCG 120 DOSES,BUSONID,,FRASCO,"0,05",,,120
BUSONID AQU / NAS 50 MCG,BUSONID,,FRASCO,"0,05",,,
BUSONID AQU / NAS 50 MCG 120 DS,BUSONID,,FRASCO,"0,05",,,120
BUSONID AQU / NAS 50 MCG 120 DS S / CO,BUSONID,,FRASCO,"0,05",,,120
BUSONID AQUOSO NASAL 50 MCG,BUSONID,,FRASCO,"0,05",,,
BUSONID AQUOSO NASAL 50 MCG SU,BUSONID,,FRASCO,"0,05",,,
BUSONIDAQU / NAS 50 MCG 120 S / CO,BUSONID,,FRASCO,"0,05",,,120
AASAC ACETILSALIC 100 MG,ACIDO ACETILSALICILICO,,UNIDADE,"100,00",,,
CITONEURIN 50 MCG COM 20 DRG,CITONEURIN,,COMPRIMIDO/CAPSULA,"0,05",,,20
ABIDOR 20 + 500 MG,ABIDOR,,UNIDADE,"520,00",,,
CLENIL 50 MCG SPRAY COM 200 DOSES,CLENIL,,FRASCO,"0,05",,,200
ABIDOR 750 MG,ABIDOR,,UNIDADE,"750,00",,,
CLENIL HFA 50 MCG SPR 200 DS,CLENIL HFA,,FRASCO,"0,05",,,200
CLENIL HFA 50 MCG SPRAY 200 DO,CLENIL HFA,,FRASCO,"0,05",,,200
CLENIL HFA 50 MCG SPRAY 200 DOS,CLENIL HFA,,FRASCO,"0,05",,,200
CLENIL HFA HFA 50 MCG SPRAY 200,CLENIL HFA,,FRASCO,"0,05",,,200
CLENIL NASAL AQUOSO 50 MCG,CLENIL NASAL AQUOSO,,SOLUCAO,"0,05",,,
CLENIL ORAL HFA SPRAY 50 MCG,CLENIL ORAL HFA,,FRASCO,"0,05",,,
"DAIVOBET 50 MCG 0 , 5 MG GEL COM 3",DAIVOBET,,BISNAGA,"0,05",,,3
DIACQUA 50 MC COM 30 COMPRIMIDOS,DIACQUA,,COMPRIMIDO/CAPSULA,"0,05",,,30
ESTRADOT 50 MCG ADES CX 8 ENV,ESTRADOT,,ADESIVO,"0,05",,,8
EUTHYROX 50 MCG 50 CP,EUTHYROX,,COMPRIMIDO/CAPSULA,"0,05",,,50
EUTHYROX 50 MCG COM 50 CP,EUTHYROX,,COMPRIMIDO/CAPSULA,"0,05",,,50
LEVOTIROXINA 50 MCG CX 50 COMPRIMIDOS EUTHYROX,EUTHYROX,,COMPRIMIDO/CAPSULA,"0,05",,,50
FENTANILA 50 MCG / ML 2 ML A 1 AMP,FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",2,,
FENTANILA 50 UGML INJ C 50 AP X 2 ML GEN A 1,FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",2,,50
"FENTANILA , 0 , 05 MG INJ 2 ML A 1",FENTANILA,,INJETAVEL,"0,05",2,,
FENTANILA INJ 50 UG / ML 02 ML A 1 CX COM 50,FENTANILA,,INJETAVEL,"0,05",2,,50
"FENTANILA 0 , 05 / MG AMPOLAS 5 ML INJ FENTANIL N",FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",5,,
"FENTANILA 0 , 05 MG / ML 50 AMPX 10 ML",FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",10,,50
FENTANILA 50 MCG / ML IM / IV 10 ML COM 50 AMPOLAS A 1,FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",10,,50
FENTANILA 50 MCG / ML INJ COM 50 AMPOLAS 10 ML GEN A 1,FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",10,,50
FENTANILA 50 MCGML 10 ML C 5 AMPS IMIV,FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",10,,5
FENTANILA 50 MCGML INJETAVEL AMPOLA 10 ML,FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",10,,
CITRATO FENTANILA 50 MCG / ML 10 ML,FENTANILA,,SOLUCAO,"0,05",10,,
CITRATO FENTANILA 50 MCG 10 ML COM 5 AMPS,FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",50,,5
CITR FENTANILA 50 UG / ML GEN CX 50 AMPOLAS X 2 ML A 1 G,FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",100,,50
CITRATO FENTANILA 50 MCG / ML 10 ML COM 50 AMP,FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",500,,50
CITRATO FENTANILA 50 UG / ML GEN CX 50 AMPOLAS X 10 ML A 1,FENTANILA,,AMPOLA OU FRASCO-AMPOLA,"0,05",500,,50
FENTANILA 50 MCG / ML,FENTANILA,,SOLUCAO,"0,05",,,
FENTANILA CITRATO 50 MCG / ML 10 ML AMPOLAS 10 ML B 1,FENTANILA CITRATO,,AMPOLA OU FRASCO-AMPOLA,"0,05",10,,
"FENTANILA , CITRATO 0 , 05 MG ML 10 ML EQUILAVENTE A 1",FENTANILA CITRATO,,SOLUCAO,"0,05",10,,
"FENTANILA SAL CITRATO 0 , 05 MG / ML SOL INJ",FENTANILA CITRATO,,INJETAVEL,"0,05",,,
"FENTANILA , SAL CITRATO , 0 , 05 MG / ML",FENTANILA CITRATO,,SOLUCAO,"0,05",,,
"FENTANILLA SAL CITRATO 0 , 05 MG / ML SOL INJ",FENTANILLA SAL CITRATO,,INJETAVEL,"0,05",,,
LATANOPROSTA 50 MCG / ML COL 5 ML,LATANOPROSTA,,GOTAS,"0,05",5,,
"LATANOPROSTA 0 , 05 MG / ML COL 2 , 5 ML",LATANOPROSTA,,GOTAS,"0,05",2.5,,
"LATANOPROSTA 0 , 05 MG / ML SOLUCAO OFTALMICA X 2 , 5 ML",LATANOPROSTA,,SOLUCAO,"0,05",2.5,,
"LATANOPROSTA 50 MCG / ML 2 , 5 ML",LATANOPROSTA,,SOLUCAO,"0,05",2.5,,
"LATANOPROSTA 0 , 05 MG / ML SOL OF",LATANOPROSTA,,SOLUCAO,"0,05",,,
"LATANOPROSTA 0 , 05 MG / ML SOL OFT",LATANOPROSTA,,SOLUCAO,"0,05",,,
LATANOPROSTA 50 MCG / ML,LATANOPROSTA,,SOLUCAO,"0,05",,,
LEVOFLOXACINO 5 MG / 100 ML GEN SIST FECHADO,LEVOFLOXACINO,,SOLUCAO,"0,05",100,,
LEVOID 50 MCG 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,05",,,30
LEVOID 50 MCG COM 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,05",,,30
LEVOID 50 MCG CX 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,05",,,30
LEVOTIROXINA 50 MCG COMPRIMIDOS COM 30,LEVOTIROXINA,,COMPRIMIDO/CAPSULA,"0,05",,,30
LEVOTIROXINA 50 MCG CX / 30 COMPRIMIDOS,LEVOTIROXINA,,COMPRIMIDO/CAPSULA,"0,05",,,30
ABIDOR PARACETAMOL 500 MG,ABIDOR,,UNIDADE,"500,00",,,
LEVOTIROXINA SOD 50 MCG 30 COMPRIMIDOS,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,05",,,30
LEVOTIROXINA SODICA 50 MCG 30 COMPRIMIDOS,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,05",,,30
LEVOTIROXINA SODICA DE 50 MCG COMPRIMIDOS,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,05",,,
LEVOTIROXINA SODICA 50 MCG 30 C,LEVOTIROXINA SODICA,,,"0,05",,,30
LEVOTIROXINA SODICA 50 MCG C /,LEVOTIROXINA SODICA,,,"0,05",,,
ABLOK 25 MG COM 30,ABLOK,,UNIDADE,"25,00",,,30
NASONEX SPR NAS 50 MCG 60 DS,NASONEX,,FRASCO,"0,05",,,60
NASONEX SPR NAS 50 MCG 60 DS SUPE,NASONEX,,FRASCO,"0,05",,,60
NASONEX NAS 50 MCG,NASONEX,,FRASCO,"0,05",,,
NOEX 50 MCG SPR 200 DOS,NOEX,,FRASCO,"0,05",,,200
NOEX 50 MCG SPRAY NAS COM 200 DS,NOEX,,FRASCO,"0,05",,,200
NOEX 50 MCG SPRAY NASAL 120 DOSES,NOEX,,FRASCO,"0,05",,,120
NOEX 50 MCG SPRAY NASAL 200 DOSES,NOEX,,FRASCO,"0,05",,,200
PLURAIR 50 MCG / DS SPRAY 120 DO,PLURAIR,,FRASCO,"0,05",,,120
PLURAIR 50 MCG FR SPRAY 120 DOS,PLURAIR,,FRASCO,"0,05",,,120
NOEX 50 MCG SUS NAS FR 200 DOS,NOEX,,FRASCO,"0,05",,,200
ABLOK PLUS 100 + 25 MG COM 30,ABLOK PLUS,,UNIDADE,"125,00",,,30
ABLOK PLUS 100 MG 25 MG COM 30,ABLOK PLUS,,UNIDADE,"125,00",,,30
"ABLOK PLUS 25 / 12 , 5 MG",ABLOK PLUS,,UNIDADE,"37,50",,,
"ABLOK PLUS 25 / 12 , 5 MG COM 60",ABLOK PLUS,,UNIDADE,"37,50",,,60
"ABLOK PLUS 25 MG 12 , 5 MG COM 3",ABLOK PLUS,,UNIDADE,"37,50",,,3
PLURAIR 50 MCG SPRAY COM 60 DOS,PLURAIR,,FRASCO,"0,05",,,60
"ABLOK PLUS 25 MG 12 , 5 MG COM 60",ABLOK PLUS,,UNIDADE,"37,50",,,60
"ABLOK PLUS 50 / 12 , 5",ABLOK PLUS,,UNIDADE,"62,50",,,
PURAN T 4 50 MCG COM 28 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,05",,,28
PURAN T 4 50 MCG COM 30 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,05",,,30
PURAN T 4 50 MCG CX 30 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,05",,,30
PURAN T 4 DE 50 MCG COM 30 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,05",,,30
"ABLOK PLUS 50 / 12 , 5 MG",ABLOK PLUS,,UNIDADE,"62,50",,,
SERETIDE DISKUS 50 / 250 MCG 60,SERETIDE,,FRASCO,"0,05",,,60
SYNTHROID 50 MCG 30 COMPRIMIDOS,SYNTHROID,,COMPRIMIDO/CAPSULA,"0,05",,,30
"ABLOK PLUS 50 + 12 , 5 MG",ABLOK PLUS,,UNIDADE,"62,50",,,
ABLOK PLUS 50 + 12 MG COM 30,ABLOK PLUS,,UNIDADE,"62,00",,,30
"ABLOK PLUS 50 MG + 12 , 5 MG C /",ABLOK PLUS,,UNIDADE,"62,50",,,
XALACOM 50 MCG / ML + 5 MG / ML SOLUCAO OFTALMICA CT FR PLAS TRA,XALACOM,,SOLUCAO,"0,05",,,
"XALATAN 50 MCG / ML SOLUCAO OFTALMICA 2 , 5",XALATAN,,SOLUCAO,"0,05",2.5,,
"MINIMA 0 , 060 MG 0 , 015 MG COM 84 CP",MINIMA,,COMPRIMIDO/CAPSULA,"0,06",,,84
SIBLIMA 60 / 15 MCG COM 24 COMPRIMIDOS,SIBLIMA,,COMPRIMIDO/CAPSULA,"0,06",,,24
"TANTIN 0 , 060 MG 0 , 015 MG COM 28 CP",TANTIN,,COMPRIMIDO/CAPSULA,"0,06",,,28
"TANTIN 0 , 060 MG 0 , 015 MG COM 84 CP",TANTIN,,COMPRIMIDO/CAPSULA,"0,06",,,84
"PURAN T 4 62 , 5 MCG 30 COMPRIMIDOS",PURAN T 4,,COMPRIMIDO/CAPSULA,"0,06",,,30
"PURAN T 4 62 , 5 MCG COM 30 COMPRIMIDOS",PURAN T 4,,COMPRIMIDO/CAPSULA,"0,06",,,30
"PURAN T 4 62 , 5 MCG CX 30 COMPRIMIDOS",PURAN T 4,,COMPRIMIDO/CAPSULA,"0,06",,,30
BUDESONIDA 64 MCG,BUDESONIDA,,,"0,06",,,
NOEX 64 MCG SPRAY NAS COM 120 DS,NOEX,,FRASCO,"0,06",,,120
NOEX 64 MCG SPRAY NASAL 120 DO,NOEX,,FRASCO,"0,06",,,120
NOEX 64 MCG SPRAY NASAL 120 DOSES,NOEX,,FRASCO,"0,06",,,120
"ABLOK PLUS 50 MG + 12 , 5 MG COM 60",ABLOK PLUS,,UNIDADE,"62,50",,,60
"BUDESONIDA 64 MCG AEROSSOL NASAL , 60 DOSES EMS",BUDESONIDA,EMS,SOLUCAO,"0,06",,,60
BUDESONIDA 64 MCG / DOSE SUSPENSAO PARA INALACAO NASAL 60 DOSES EMS,BUDESONIDA,EMS,FRASCO,"0,06",,,60
BUDOSENIDA 64 MCG EMS,BUDOSENIDA,EMS,,"0,06",,,
BUDESONID 64 MCG 6 ML,BUDESONID,,SOLUCAO,"0,06",6,,
"BUDESONIDA 64 MCG AEROSSOL NASAL , 60 DOSES",BUDESONIDA,,SOLUCAO,"0,06",,,60
BUDESONIDA 64 MCG INALACAO NASAL,BUDESONIDA,,SOLUCAO,"0,06",,,
BUDESONIDA 64 MCG SUS PARA INALACAO FR 60 DOSES,BUDESONIDA,,FRASCO,"0,06",,,60
BUDESONIDA INALIDE 64 MCG SUSP 120 DS,BUDESONIDA,,FRASCO,"0,06",,,120
BUDESONIDA INALIDE 64 MCG SUSP 60 DS,BUDESONIDA,,FRASCO,"0,06",,,60
BUSONID 64 MCG AER NASAL 120 DOS,BUSONID,,FRASCO,"0,06",,,120
BUSONID 64 MCG AQUOSO NASAL 120 DOSES,BUSONID,,FRASCO,"0,06",,,120
BUSONID 64 MCG NAS AQ 120 DOSES,BUSONID,,FRASCO,"0,06",,,120
BUSONID AQ NA 64 MCG 120 D S / CO,BUSONID,,FRASCO,"0,06",,,120
BUSONID AQUOSO NASAL 64 MCG SU,BUSONID,,FRASCO,"0,06",,,
"ABLOK PLUS 50 MG 12 , 5 MG COM 3",ABLOK PLUS,,UNIDADE,"62,50",,,3
BUDESONIDA 64 MCG SPR 120 DOSES,BUDESONIDA,,FRASCO,"0,06",,,120
BUDESONIDA SPRAY NASAL 64 MCG,BUDESONIDA,,FRASCO,"0,06",,,
INALAJET SUSP SPRY 64 MCG,INALAJET,,FRASCO,"0,06",,,
INALAJET SPY 64 MCG,INALAJET,,SOLUCAO,"0,06",,,
INALID 64 MCG SPR 120 DOSES,INALID,,FRASCO,"0,06",,,120
NOEX 64 MCG SUS NAS FR 120 DOS,NOEX,,FRASCO,"0,06",,,120
ABS INTIMUS NOT SUAVE COM ABAS,ABS INTIMUS,,UNIDADE,,,,
ABS MAT NOTURNO,ABS MAT,,UNIDADE,,,,
ABS SEIOS,ABS SEIOS,,UNIDADE,,,,
LEVOTIROXINA 75 MCG COM 30 COMPRIMIDOS GEN,LEVOTIROXINA,GENERICO,COMPRIMIDO/CAPSULA,"0,08",,,30
DESOGESTREL 75 MCG 28 COMPRIMIDOS NEOQ,DESOGESTREL,NEO QUIMICA,COMPRIMIDO/CAPSULA,"0,08",,,28
CERAZETTE 75 MCG COM 84 CP REV,CERAZETTE,,COMPRIMIDO/CAPSULA,"0,08",,,84
DESOGESTREL 75 MCG 28 COMPRIMIDOS NEO,DESOGESTREL,,COMPRIMIDO/CAPSULA,"0,08",,,28
EUTHYROX 75 MCG 50 CP,EUTHYROX,,COMPRIMIDO/CAPSULA,"0,08",,,50
EUTHYROX 75 MCG COM 50 CP,EUTHYROX,,COMPRIMIDO/CAPSULA,"0,08",,,50
LEVOID 75 MCG 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,08",,,30
LEVOID 75 MCG COM 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,08",,,30
LEVOID 75 MCG CX 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,08",,,30
LEVOTIROXINA 75 MCG COMPRIMIDOS,LEVOTIROXINA,,COMPRIMIDO/CAPSULA,"0,08",,,
LEVOTIROXINA 75 MCG CX / 30 COMPRIMIDOS,LEVOTIROXINA,,COMPRIMIDO/CAPSULA,"0,08",,,30
AC ACETILSALIC 100 MG IMEC,ACIDO ACETILSALICILICO,IMEC,UNIDADE,"100,00",,,
EUTHYROX LEVOTIROXINA SODICA 75 MCG CX 50 COMPRIMIDOS,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,08",,,50
LEVOTIROXINA SODICA 75 MCG COMPRIMIDOS,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,08",,,
LEVOTIROXINA SODICA DE 75 MCG COMPRIMIDOS,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,08",,,
LEVOTIROXINA SODICA 75 MCG,LEVOTIROXINA SODICA,,,"0,08",,,
LEVOTROXINA SODICA 75 MCG,LEVOTROXINA SODICA,,,"0,08",,,
MINESSE 60 / 15 MCG COM 24 COMPRIMIDOS,MINESSE,,COMPRIMIDO/CAPSULA,"0,08",,,24
MINESSE 60 15 MCG 24 CP RE,MINESSE,,COMPRIMIDO/CAPSULA,"0,08",,,24
NACTALI 75 MCG COM 84 CP REV,NACTALI,,COMPRIMIDO/CAPSULA,"0,08",,,84
ACECLOFENACO 100 MG COM 12,ACECLOFENACO,,UNIDADE,"100,00",,,12
PEROLA 75 MCG COM 28 CP,PEROLA,,COMPRIMIDO/CAPSULA,"0,08",,,28
ACECLOFENACO 100 MG COM 12 LEGRAND,ACECLOFENACO,LEGRAND,UNIDADE,"100,00",,,12
PURAN T 4 75 MCG 30 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,08",,,30
PURAN T 4 75 MCG COM 30 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,08",,,30
PURAN T 4 75 MCG CX 30 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,08",,,30
ACECLOFENACO 100 MG COM 12 NOVAQ,ACECLOFENACO,NOVA QUIMICA,UNIDADE,"100,00",,,12
SERETIDE 25 + 50 MCG SPRAY PBM,SERETIDE,,FRASCO,"0,08",,,
SYNTHROID 75 MCG COM 30 COMPRIMIDOS,SYNTHROID,,COMPRIMIDO/CAPSULA,"0,08",,,30
"CITRATO DE FENTANILA 78 , 5 MCG / ML 5 ML CRISTALIA",FENTANILA,CRISTALIA,SOLUCAO,"0,08",5,,
"CITRATO DE FENTANILA 78 , 5 MCG / MG / 2 ML TEUTO",FENTANILA,TEUTO,SOLUCAO,"0,08",2,,
"UNIFENTAL CITRATO DE FENTANILA 78 , 5 MCG / ML 50 AMPOLAS 2 ML UNIAO QUIMICA",CITRATO DE FENTANILA,UNIAO QUIMICA,AMPOLA OU FRASCO-AMPOLA,"0,08",2,,50
"FENTANILA 78 , 5 MCG / ML / 2 ML UNIAO",FENTANILA,UNIAO QUIMICA,SOLUCAO,"0,08",2,,
"FENTANILA , CITRATO 78 , 5 MCG 2 ML EQUIVALE",FENTANILA CITRATO,,SOLUCAO,"0,08",2,,
"TRIQUILAR 0 , 05 + 0 , 03 MG CX 21 CO",TRIQUILAR,,COMPRIMIDO/CAPSULA,"0,08",,,21
LEVOTIROXINA 88 MCG COM 30 COMPRIMIDOS GEN,LEVOTIROXINA,GENERICO,COMPRIMIDO/CAPSULA,"0,09",,,30
LEVOTIROXINA SODICA 88 MCG 30 COMPRIMIDOS GEN,LEVOTIROXINA SODICA,GENERICO,COMPRIMIDO/CAPSULA,"0,09",,,30
EUTHYROX 88 MCG CART 50 COMPRIMIDOS,EUTHYROX,,COMPRIMIDO/CAPSULA,"0,09",,,50
EUTHYROX 88 MCG COM 50 CP,EUTHYROX,,COMPRIMIDO/CAPSULA,"0,09",,,50
LEVOID 88 MCG 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,09",,,30
LEVOID 88 MCG COM 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,09",,,30
LEVOID 88 MCG CX 30 COMPRIMIDOS,LEVOID,,COMPRIMIDO/CAPSULA,"0,09",,,30
ACET DEXAMETASONA 1 MG / G,ACETATO DE DEXAMETASONA,,UNIDADE,"1,00",,,
ACETATO BETAMETASONA 3 MG + DIF BETAMETASONA 3 MG,ACETATO DE BETAMETASONA + DIFOSFATO DE BETAMETASONA,,UNIDADE,"6,00",,,
LEVOTIROXINA 88 MCG COMPRIMIDOS,LEVOTIROXINA,,COMPRIMIDO/CAPSULA,"0,09",,,
LEVOTIROXINA SOD 88 MCG 30 COMPRIMIDOS,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,09",,,30
LEVOTIROXINA SODICA 88 MCG 30 COMPRIMIDOS,LEVOTIROXINA SODICA,,COMPRIMIDO/CAPSULA,"0,09",,,30
LEVOTIROXINA SODICA 88 MCG C /,LEVOTIROXINA SODICA,,,"0,09",,,
LEVOTIROXINA SODICA 88 MCG LEVOID,LEVOTIROXINA SODICA,,,"0,09",,,
PURAN T 4 88 MCG COM 30 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,09",,,30
PURAN T 4 88 MCG CX 30 COMPRIMIDOS,PURAN T 4,,COMPRIMIDO/CAPSULA,"0,09",,,30
ALLESTRA 20 + 75 MCG 63 COMPRIMIDOS,ALLESTRA,,COMPRIMIDO/CAPSULA,"0,10",,,63
ALLESTRA 20 + 75 MCG 63 COMPRIMIDOS REV,ALLESTRA,,COMPRIMIDO/CAPSULA,"0,10",,,63
DEXMEDETOMIDINA 100 MCG / ML 2 MLC 1 CX COM 25 ACCORD / SP,DEXMEDETOMIDINA,ACCORD,SOLUCAO,"0,10",2,,25
ACETATO DE BETAMETASONA + FOSF DISSOD DE BETAMET,ACETATO DE BETAMETASONA + FOSFATO DISSODICO DE BETAMETASONA,,UNIDADE,,,,
"FLUMAZENIL 0 , 1 MG / ML 5 ML I VAMP CX COM 10 CRISTALIA",FLUMAZENIL,CRISTALIA,AMPOLA OU FRASCO-AMPOLA,"0,10",5,,10
"MORFINA 0 , 1 MG / ML 1 ML A 1 AMPOLAS CRIST A 1",MORFINA,CRISTALIA,AMPOLA OU FRASCO-AMPOLA,"0,10",1,,1
"DEXAMETASONA ELIXIR 0 , 1 MG / ML 100 ML CT FARMA",DEXAMETASONA,CT FARMA,SOLUCAO,"0,10",100,,
SALBUTAMOL SPRAY 100 MCG / DOSE EMS,SALBUTAMOL,EMS,FRASCO,"0,10",,,
"DEXAMETASONA ELIX 0 , 1 MG / ML G FR 100 ML VP FARMA",DEXAMETASONA,FARMA,SOLUCAO,"0,10",100,,
"DEXAMETASONA ELIXIR 0 , 5 MG / 5 ML 120 ML FARMA",DEXAMETASONA,FARMA,SOLUCAO,"0,10",120,,
"DEXAMETASONA ELIXIR 0 , 1 MG / ML FARMA",DEXAMETASONA,FARMA,SOLUCAO,"0,10",,,
"DEXAMETAZONA 0 , 1 MG FARMA",DEXAMETASONA,FARMA,,"0,10",,,
"DEXAMETASONA 0 , 1 MG / ML ELIXIR FRASCO 100 ML FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",100,,
"DEXAMETASONA 0 , 5 MG / 5 ML COM 100 ML FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",100,,
"DEXAMETASONA 0 , 5 MG / 5 ML ELIXIR 100 ML FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",100,,
"DEXAMETASONA ELIXIR 0 , 1 MG / ML 100 ML FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",100,,
"DEXAMETASONA 0 , 1 MG / ML ELIXIR 120 ML FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",120,,
"DEXAMETASONA ELIXIR 0 , 1 MG / ML 120 ML FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",120,,
"DEXAMETASONA ELIXIR 0 , 1 MG / ML SOL ORAL FRASCO 120 ML FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",120,,
"DEXAMETASONA ELIXIR 0 , 1 MG ML , FRASCO COM 120 ML FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",120,,
"DEXAMETASONA ELIXIR 0 , 1 MG ML FRA 120 ML FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",120,,
"DEXAMETASONA 0 , 5 MG / 5 ML XPE 120 ML FARMACE OK",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,FRASCO,"0,10",120,,
"DEXAMETASONA 0 , 1 MG / ML ELIXIR FARMA",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",,,
"DEXAMETASONA 0 , 1 MG / ML ELIXIR FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",,,
"DEXAMETASONA ELIXIR 0 , 1 MG / ML FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,SOLUCAO,"0,10",,,
"DEXAMETASONA 0 , 5 MG 5 ML XAROPE FARMACE",DEXAMETASONA,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA,FRASCO,"0,10",,,
FLUMAZENIL 01 MGML C 5 AMPOLAS X 5 MLGEN,FLUMAZENIL,GENERICO,AMPOLA OU FRASCO-AMPOLA,"0,10",5,,5
LEVOTIROXINA 100 MCG 30 COMPRIMIDOS GEN,LEVOTIROXINA,GENERICO,COMPRIMIDO/CAPSULA,"0,10",,,30
LEVOTIROXINA 100 MCG COM 30 COMPRIMIDOS GEN,LEVOTIROXINA,GENERICO,COMPRIMIDO/CAPSULA,"0,10",,,30
LEVOTIROXINA SODICA 100 MCG 30 COMPRIMIDOS GEN,LEVOTIROXINA SODICA,GENERICO,COMPRIMIDO/CAPSULA,"0,10",,,30
SALBUTAMOL 100 MCG SPR C 200 DS UND GLAXO,SALBUTAMOL,GLAXOSMITHKLINE,FRASCO,"0,10",,,200
ACETATO DE CLORMADINONA + ETINILESTRADIOL COM 63,ACETATO DE CLORMADINONA + ETINILESTRADIOL,,UNIDADE,,,,63
"DEXAMETASONA 0 , 1 MG / ML 30 ML GREEN",DEXAMETASONA,GREEN PHARMA,SOLUCAO,"0,10",30,,
AEROLIN SPRAY 100 MCG E 200 DS GSK,AEROLIN,GSK,FRASCO,"0,10",,,200
SALBUTAMOL SPRAY 100 MCG / DOSE GSK,SALBUTAMOL,GSK,FRASCO,"0,10",,,
"SALBUTAMOL , SULFATO 100 MCG / DOSE AEROSSOL ORAL 200 DOSES GSK","SALBUTAMOL, SULFATO",GSK,FRASCO,"0,10",,,200
"DEXAMETASONA ELIXIR 0 , 1 MG / ML 120 ML HIPOLABOR",DEXAMETASONA,HIPOLABOR,SOLUCAO,"0,10",120,,
"FLUMAZENIL 0 , 1 MG / ML CX COM 50 AMPOLAS 5 ML GHIPOLABOR",FLUMAZENIL,HIPOLABOR,AMPOLA OU FRASCO-AMPOLA,"0,10",5,,50
"FLUMAZENIL 0 , 1 MG 5 MLCX COM 5 HIPOL C 1",FLUMAZENIL,HIPOLABOR,AMPOLA OU FRASCO-AMPOLA,"0,10",5,,5
